epoch,train_loss,validation_loss
1,0.9036850602730461,1.0617367029190063
2,0.8520525761272596,0.9845396876335144
3,0.7612839185673258,0.8408031463623047
4,0.6200711250305175,0.6514768600463867
5,0.506177372517793,0.506991446018219
6,0.44587299201799474,0.4617409110069275
7,0.403729524301446,0.45667704939842224
8,0.34187987109889156,0.46984827518463135
9,0.32776846885681155,0.48540937900543213
10,0.2862053101477416,0.46844613552093506
11,0.24704205523366513,0.43484994769096375
12,0.26699473598729007,0.4042832851409912
13,0.19708075510418932,0.3965126574039459
14,0.20517428595086804,0.39050838351249695
15,0.19375297375347303,0.3853119909763336
16,0.1838308053172153,0.3882191777229309
17,0.17529368478318919,0.3606218695640564
18,0.13571754603282266,0.3649235963821411
19,0.1265753958536231,0.35978400707244873
20,0.15680364163025565,0.33149030804634094
21,0.16368207672367927,0.3490865230560303
22,0.1375898495964382,0.36926329135894775
23,0.14496769956920458,0.47517624497413635
24,0.15344293104565662,0.419827938079834
25,0.12047795109126878,0.43096625804901123
26,0.11783500974592956,0.4127112030982971
27,0.10175594687461853,0.40362149477005005
