epoch,train_loss,validation_loss
1,0.9117194818413776,1.0333069562911987
2,0.8437587763952172,0.9324239492416382
3,0.7381039023399353,0.768116295337677
4,0.6104653368825498,0.6324993371963501
5,0.5321825017099795,0.5305190086364746
6,0.4559555118498595,0.4696144461631775
7,0.4313349048728528,0.44993263483047485
8,0.37076640206834544,0.4452363848686218
9,0.33317043055658757,0.4395335912704468
10,0.29532097655793893,0.4386381506919861
11,0.3256394083085267,0.4313388764858246
12,0.31165110831675324,0.4087771773338318
13,0.28072813036649125,0.4118117094039917
14,0.24837019288021586,0.40745484828948975
15,0.2809759882481202,0.4109766483306885
16,0.23608951633391173,0.4052446484565735
17,0.19911165159681568,0.406830370426178
18,0.20563569613125013,0.3822636902332306
19,0.1991056459105533,0.3741585612297058
20,0.20373835097188536,0.4396525025367737
21,0.18198903047520182,0.4097888469696045
22,0.16616395465705705,0.38597577810287476
23,0.1893396302409794,0.3945847749710083
24,0.17078999384589819,0.41501304507255554
25,0.1394787756645161,0.3599753975868225
26,0.17906653362771738,0.33002835512161255
27,0.1363886482041815,0.3493417501449585
28,0.14168705901373987,0.37047457695007324
29,0.15106390131556469,0.3740028142929077
30,0.12910890488520912,0.35898542404174805
