epoch,train_loss,validation_loss
1,0.7187775160955346,0.714053750038147
2,0.7033508409624515,0.7055971622467041
3,0.6876422322314718,0.6980846524238586
4,0.6688920896986257,0.690955400466919
5,0.647096256069515,0.685612678527832
6,0.6290628272554148,0.6824514865875244
7,0.6161377580269524,0.684076189994812
8,0.5931740159573762,0.6920860409736633
9,0.5680083352586497,0.7079359292984009
10,0.56164601419283,0.7324398756027222
11,0.5439382615296737,0.7576949596405029
12,0.5401554309803507,0.773830235004425
13,0.5417990544567938,0.7946512699127197
