epoch,train_loss,validation_loss
1,0.7128338860428851,0.6486533284187317
2,0.6617154764092487,0.572286069393158
3,0.6019826147867285,0.48303309082984924
4,0.5293354568274125,0.3875734508037567
5,0.45714342309081035,0.31323620676994324
6,0.39746899345646736,0.264821320772171
7,0.3640913126261338,0.23525400459766388
8,0.32303391785725305,0.22017057240009308
9,0.3000890480435413,0.21293149888515472
10,0.28426276173280635,0.21147744357585907
11,0.26759060530558876,0.21670983731746674
12,0.25368121914241626,0.2228706032037735
13,0.224938612010168,0.2347804456949234
14,0.2132957710520081,0.2461349219083786
15,0.18939819880153821,0.2622608542442322
16,0.18442509588987932,0.2788581848144531
17,0.1671614923554918,0.2964724898338318
