,section_id,donor_id,time,source,target,source_cell_id,target_cell_id,sender_type,receiver_type,relation,distance,ligand_signal,receptor_signal,true_gate_probability,edge_active,source_stress,source_damage,source_inflammation,split,learned_gate_probability,gate_error
422,D00_S0,D00,24.0,D00_S0_C006_T024,D00_S0_C012_T024,D00_S0_C006,D00_S0_C012,macrophage,tumor,macrophage_to_tumor,77.16881254828617,1.4744735825947248,0.9506120179616344,0.8974829509961795,1,1.0650836899424838,1.7807436884824286,1.3270998448523548,train,0.8974826150828698,3.359133097236011e-07
535,D00_S0,D00,24.0,D00_S0_C002_T024,D00_S0_C035_T024,D00_S0_C002,D00_S0_C035,macrophage,tumor,macrophage_to_tumor,58.57080188212256,1.2729094951078406,0.7074271302375981,0.8899413183650225,1,0.8658563819298516,1.3330964929576294,1.1565535886845197,train,0.8899407261636944,5.922013281978167e-07
461,D00_S0,D00,24.0,D00_S0_C006_T024,D00_S0_C020_T024,D00_S0_C006,D00_S0_C020,macrophage,t_cell,macrophage_to_t_cell,60.6380395970294,1.4744735825947248,0.713038620014581,0.882771241664824,1,1.0650836899424838,1.7807436884824286,1.3270998448523548,train,0.8827705977875833,6.438772407468818e-07
515,D00_S0,D00,24.0,D00_S0_C006_T024,D00_S0_C031_T024,D00_S0_C006,D00_S0_C031,macrophage,tumor,macrophage_to_tumor,98.35304800535087,1.4744735825947248,0.9172570319238849,0.8536140496569677,1,1.0650836899424838,1.7807436884824286,1.3270998448523548,train,0.8536136412239631,4.084330046394413e-07
400,D00_S0,D00,24.0,D00_S0_C032_T024,D00_S0_C008_T024,D00_S0_C032,D00_S0_C008,fibroblast,tumor,fibroblast_to_tumor,84.45361870910901,1.3689842194923623,0.7442321005846702,0.8295357756589766,1,1.291389450589735,1.7914358669079262,1.1189557241220578,train,0.8295349685398151,8.07119161505554e-07
480,D00_S0,D00,24.0,D00_S0_C007_T024,D00_S0_C024_T024,D00_S0_C007,D00_S0_C024,macrophage,vascular,other,3.8093604888913664,1.3071825219144761,0.7034097613223828,0.8295227575960161,1,0.9160638827112065,1.379815098777732,1.2866771567743398,train,0.8295217480559548,1.0095400613252536e-06
391,D00_S0,D00,24.0,D00_S0_C012_T024,D00_S0_C006_T024,D00_S0_C012,D00_S0_C006,tumor,macrophage,tumor_to_macrophage,77.16881254828617,1.3428890541838445,0.7858824702793855,0.8091807450557054,1,1.3837486238704548,2.0808086937685593,1.248859155778158,train,0.809180010780516,7.342751893180122e-07
485,D00_S0,D00,24.0,D00_S0_C023_T024,D00_S0_C025_T024,D00_S0_C023,D00_S0_C025,macrophage,t_cell,macrophage_to_t_cell,76.13017961181784,1.2341687753785662,0.6752873028140852,0.8077438410427236,1,0.807832597635131,1.2825764257710284,1.2770463802562153,train,0.8077430628561537,7.78186569849737e-07
370,D00_S0,D00,24.0,D00_S0_C035_T024,D00_S0_C002_T024,D00_S0_C035,D00_S0_C002,tumor,macrophage,tumor_to_macrophage,58.57080188212256,0.9912635591119894,0.6825642086381185,0.7854310958666046,1,0.9079083081597575,1.5308192817603938,1.1468960152799672,train,0.7854302603355405,8.355310641139368e-07
438,D00_S0,D00,24.0,D00_S0_C006_T024,D00_S0_C015_T024,D00_S0_C006,D00_S0_C015,macrophage,tumor,macrophage_to_tumor,138.5443043471372,1.4744735825947248,0.957013957310954,0.7445222868843053,1,1.0650836899424838,1.7807436884824286,1.3270998448523548,train,0.7445220162451613,2.706391439843969e-07
392,D00_S0,D00,24.0,D00_S0_C031_T024,D00_S0_C006_T024,D00_S0_C031,D00_S0_C006,tumor,macrophage,tumor_to_macrophage,98.35304800535087,1.3291926304928312,0.7858824702793855,0.740319248756048,1,1.3312473790364145,2.120525239705778,1.3809538264030377,train,0.7403184895598274,7.591962206676683e-07
360,D00_S0,D00,24.0,D00_S0_C029_T024,D00_S0_C000_T024,D00_S0_C029,D00_S0_C000,fibroblast,tumor,fibroblast_to_tumor,101.65837651971647,1.1328085702929704,0.7488028949408794,0.7319387329822664,1,0.9896916222544951,1.3897893611137906,1.2669718528007012,train,0.731937949123975,7.838582913866077e-07
