row_id,donor_id,cohort_id,section_id,section_index,cell_id,cell_type,time,x,y,vulnerability,repair_capacity,regulatory_activity,organelle_coupling,stress,damage,reserve,inflammation,communication_tone,next_stress,next_damage,next_reserve,next_inflammation,next_time,delta_t,destructive_state,next_destructive_state
D00_S0_C000_T000,D00,C0,D00_S0,0,D00_S0_C000,tumor,0.0,331.44449787417807,547.6604088350662,0.3938552774363668,0.39024716363447065,0.8821192428486554,0.39657697072999026,0.5173324340993481,0.5102904384441043,0.4281960007935342,0.37068862500307037,0.2,0.7427624627465219,0.902336338007116,0.2591653757261543,0.8224527919224475,12.0,12.0,0.3697270968270241,0.7485691075371773
D00_S0_C000_T012,D00,C0,D00_S0,0,D00_S0_C000,tumor,12.0,335.73942439191535,550.8373970892707,0.3938552774363668,0.39024716363447065,0.939435977500371,0.538836737398888,0.7427624627465219,0.902336338007116,0.2591653757261543,0.8224527919224475,0.2,1.1078401004725715,1.634645289249973,0.02,1.3174319680391158,24.0,12.0,0.7485691075371773,1.3539113605801303
D00_S0_C000_T024,D00,C0,D00_S0,0,D00_S0_C000,tumor,24.0,337.41992930217003,555.1096402873306,0.3938552774363668,0.39024716363447065,1.0631197501208522,0.8165396189153732,1.1078401004725715,1.634645289249973,0.02,1.3174319680391158,0.2,2.0326595054119894,3.0,0.02,2.5,48.0,24.0,1.3539113605801303,2.5047446615153572
D00_S0_C000_T048,D00,C0,D00_S0,0,D00_S0_C000,tumor,48.0,334.58195418872924,547.723524283178,0.3938552774363668,0.39024716363447065,1.2645414352469906,1.3719343439879597,2.0326595054119894,3.0,0.02,2.5,0.2,,,,,,,2.5047446615153572,
D00_S0_C001_T000,D00,C0,D00_S0,0,D00_S0_C001,macrophage,0.0,366.8178904172063,209.18938183154478,0.437504968034575,0.4938060227375138,0.5936705743082498,0.7229844742017513,0.31482053374069285,0.3407299676860799,0.49746682403884346,0.7537513462359486,0.55,0.6305539688477179,0.7998496074842874,0.29814603089700786,1.0253714743313658,12.0,12.0,0.29300770189535646,0.6999650909387504
D00_S0_C001_T012,D00,C0,D00_S0,0,D00_S0_C001,macrophage,12.0,366.50509235173473,212.20100047982956,0.437504968034575,0.4938060227375138,0.764024279803764,0.946492394265599,0.6305539688477179,0.7998496074842874,0.29814603089700786,1.0253714743313658,0.55,1.0678430638899021,1.8509459987968977,0.02,1.5120839605064809,24.0,12.0,0.6999650909387504,1.4854669294129796
D00_S0_C001_T024,D00,C0,D00_S0,0,D00_S0_C001,macrophage,24.0,358.30811271054205,210.21552533992423,0.437504968034575,0.4938060227375138,0.8567613789871589,1.308456799255283,1.0678430638899021,1.8509459987968977,0.02,1.5120839605064809,0.55,2.197268538094661,3.0,0.02,2.5,48.0,24.0,1.4854669294129796,2.550835190666505
D00_S0_C001_T048,D00,C0,D00_S0,0,D00_S0_C001,macrophage,48.0,362.6181163305419,209.71972959307868,0.437504968034575,0.4938060227375138,1.0962189125973147,1.8,2.197268538094661,3.0,0.02,2.5,0.55,,,,,,,2.550835190666505,
D00_S0_C002_T000,D00,C0,D00_S0,0,D00_S0_C002,macrophage,0.0,138.6220049792973,849.3905325215777,0.35420651611588483,0.7530625752846343,0.44033980539524054,0.5868001713746543,0.22459596997123416,0.2954158032267643,0.5439751302214015,0.6968961107156151,0.55,0.5235188138385339,0.6028960692054807,0.43239057309398177,0.8344244723300606,12.0,12.0,0.22439115063520707,0.5077343494787563
D00_S0_C002_T012,D00,C0,D00_S0,0,D00_S0_C002,macrophage,12.0,145.94497497221957,849.6045141753086,0.35420651611588483,0.7530625752846343,0.5050894783407952,0.7811051947652279,0.5235188138385339,0.6028960692054807,0.43239057309398177,0.8344244723300606,0.55,0.8658563819298516,1.3330964929576294,0.03040077229782015,1.1565535886845197,24.0,12.0,0.5077343494787563,1.1069486513914042
D00_S0_C002_T024,D00,C0,D00_S0,0,D00_S0_C002,macrophage,24.0,143.68045947380475,848.923284888522,0.35420651611588483,0.7530625752846343,0.6051436031331483,1.0099522018984548,0.8658563819298516,1.3330964929576294,0.03040077229782015,1.1565535886845197,0.55,1.7443477553951094,3.0,0.02,2.5,48.0,24.0,1.1069486513914042,2.424017371510631
D00_S0_C002_T048,D00,C0,D00_S0,0,D00_S0_C002,macrophage,48.0,138.3668238479127,850.4792492218571,0.35420651611588483,0.7530625752846343,0.7858196517731555,1.595167779685685,1.7443477553951094,3.0,0.02,2.5,0.55,,,,,,,2.424017371510631,
D00_S0_C003_T000,D00,C0,D00_S0,0,D00_S0_C003,macrophage,0.0,385.5568761967861,154.81945261307922,0.6100402947590842,0.32413934839788894,0.6572274446278951,0.5251990672078889,0.3980675370364438,0.3727221553606519,0.4785461048837867,0.7217406784781656,0.55,0.7346079188076741,0.9403552134634854,0.22079431076777067,1.0150229384514666,12.0,12.0,0.32943353756451726,0.8114905590500056
D00_S0_C003_T012,D00,C0,D00_S0,0,D00_S0_C003,macrophage,12.0,389.07964969823564,147.12853918473058,0.6100402947590842,0.32413934839788894,0.7548953748010382,0.7333587340863078,0.7346079188076741,0.9403552134634854,0.22079431076777067,1.0150229384514666,0.55,1.2154726228012318,1.928513548610226,0.02,1.5372861176689459,24.0,12.0,0.8114905590500056,1.5690760612510426
D00_S0_C003_T024,D00,C0,D00_S0,0,D00_S0_C003,macrophage,24.0,383.0947228394522,148.9737307687073,0.6100402947590842,0.32413934839788894,0.916930643896701,1.0821173267270299,1.2154726228012318,1.928513548610226,0.02,1.5372861176689459,0.55,2.3893227119200957,3.0,0.02,2.5,48.0,24.0,1.5690760612510426,2.604610359337627
D00_S0_C003_T048,D00,C0,D00_S0,0,D00_S0_C003,macrophage,48.0,384.19670959102336,148.93403535075944,0.6100402947590842,0.32413934839788894,1.0839892671250528,1.6240377559932346,2.3893227119200957,3.0,0.02,2.5,0.55,,,,,,,2.604610359337627,
D00_S0_C004_T000,D00,C0,D00_S0,0,D00_S0_C004,tumor,0.0,591.571131960494,870.7995821493301,0.8603556623376878,0.40565001341589596,0.6078000848846384,0.6064149259953691,0.5987953386944628,0.5378190308017973,0.3208664806684155,0.4543439830088578,0.2,0.9363303674890471,1.0709332711184638,0.044287040843790766,0.9020550469571417,12.0,12.0,0.44609400047403247,0.9468883334395902
D00_S0_C004_T012,D00,C0,D00_S0,0,D00_S0_C004,tumor,12.0,592.8552869835593,872.9721519941821,0.8603556623376878,0.40565001341589596,0.7068743335668677,0.7879903572062775,0.9363303674890471,1.0709332711184638,0.044287040843790766,0.9020550469571417,0.2,1.4147660804345048,2.06434511706396,0.02,1.4393668579339902,24.0,12.0,0.9468883334395902,1.6704935302991604
