row_id,donor_id,section_id,cell_type,time,split,full_prediction,intrinsic_prediction,neighborhood_contribution,split_regime
D00_S0_C000_T000,D00,D00_S0,tumor,0.0,train,0.8177801803021604,0.8302824456978604,-0.012502265395699985,heldout_section
D00_S0_C000_T012,D00,D00_S0,tumor,12.0,train,1.297476649866348,1.3139155669433835,-0.016438917077035597,heldout_section
D00_S0_C000_T024,D00,D00_S0,tumor,24.0,train,2.5203493644753325,2.5773493949772748,-0.057000030501942245,heldout_section
D00_S0_C001_T000,D00,D00_S0,macrophage,0.0,train,0.7616991133026944,0.7542663478690127,0.007432765433681654,heldout_section
D00_S0_C001_T012,D00,D00_S0,macrophage,12.0,train,1.2920468647860515,1.2848795578057877,0.007167306980263799,heldout_section
D00_S0_C001_T024,D00,D00_S0,macrophage,24.0,train,2.560956524714349,2.55644242740562,0.0045140973087289815,heldout_section
D00_S0_C002_T000,D00,D00_S0,macrophage,0.0,train,0.6528735253111931,0.6480363263468452,0.004837198964347977,heldout_section
D00_S0_C002_T012,D00,D00_S0,macrophage,12.0,train,1.0843253732318008,1.0843233605990223,2.0126327784364406e-06,heldout_section
D00_S0_C002_T024,D00,D00_S0,macrophage,24.0,train,2.3782390456614486,2.388307594168191,-0.010068548506742214,heldout_section
D00_S0_C003_T000,D00,D00_S0,macrophage,0.0,train,0.8094230148931432,0.8044642809263968,0.004958733966746398,heldout_section
D00_S0_C003_T012,D00,D00_S0,macrophage,12.0,train,1.3859123872758625,1.385684870400887,0.00022751687497546413,heldout_section
D00_S0_C003_T024,D00,D00_S0,macrophage,24.0,train,2.5954391255679226,2.6181623697885796,-0.02272324422065708,heldout_section
D00_S0_C004_T000,D00,D00_S0,tumor,0.0,train,0.937092400246919,0.9395985544005105,-0.0025061541535915666,heldout_section
D00_S0_C004_T012,D00,D00_S0,tumor,12.0,train,1.5209712736132321,1.5258941745892831,-0.00492290097605097,heldout_section
D00_S0_C004_T024,D00,D00_S0,tumor,24.0,train,2.6409059247545863,2.695060393333295,-0.05415446857870876,heldout_section
D00_S0_C005_T000,D00,D00_S0,tumor,0.0,train,0.8376662312273085,0.8401190152473164,-0.0024527840200078144,heldout_section
D00_S0_C005_T012,D00,D00_S0,tumor,12.0,train,1.3559923397245677,1.355207442068698,0.000784897655869754,heldout_section
D00_S0_C005_T024,D00,D00_S0,tumor,24.0,train,2.5918502628589946,2.5710187446007127,0.02083151825828189,heldout_section
D00_S0_C006_T000,D00,D00_S0,macrophage,0.0,train,0.7242486134075594,0.7074873912036088,0.0167612222039506,heldout_section
D00_S0_C006_T012,D00,D00_S0,macrophage,12.0,train,1.2851052798286724,1.2720819207643215,0.013023359064350926,heldout_section
D00_S0_C006_T024,D00,D00_S0,macrophage,24.0,train,2.580566333649706,2.535513111591812,0.04505322205789364,heldout_section
D00_S0_C007_T000,D00,D00_S0,macrophage,0.0,train,0.6592095499312085,0.6547201470558454,0.0044894028753631465,heldout_section
D00_S0_C007_T012,D00,D00_S0,macrophage,12.0,train,1.1321347704835159,1.1346368642916835,-0.0025020938081676825,heldout_section
D00_S0_C007_T024,D00,D00_S0,macrophage,24.0,train,2.4631540291856213,2.4641080868772187,-0.0009540576915973986,heldout_section
D00_S0_C008_T000,D00,D00_S0,tumor,0.0,train,0.7784278468594555,0.7843227292298919,-0.0058948823704363384,heldout_section
D00_S0_C008_T012,D00,D00_S0,tumor,12.0,train,1.2980896329396332,1.2981630700955797,-7.343715594654299e-05,heldout_section
D00_S0_C008_T024,D00,D00_S0,tumor,24.0,train,2.577309534096915,2.587414399708179,-0.01010486561126367,heldout_section
D00_S0_C009_T000,D00,D00_S0,vascular,0.0,train,0.5440388366875504,0.5395727495658349,0.0044660871217154785,heldout_section
D00_S0_C009_T012,D00,D00_S0,vascular,12.0,train,1.0388232695244146,1.0431360908679743,-0.004312821343559703,heldout_section
D00_S0_C009_T024,D00,D00_S0,vascular,24.0,train,2.399816266066321,2.4017641119585362,-0.0019478458922153052,heldout_section
D00_S0_C010_T000,D00,D00_S0,tumor,0.0,train,0.7254468340166055,0.7356718207445817,-0.010224986727976226,heldout_section
D00_S0_C010_T012,D00,D00_S0,tumor,12.0,train,1.185576828535205,1.193771509337516,-0.008194680802311005,heldout_section
D00_S0_C010_T024,D00,D00_S0,tumor,24.0,train,2.497469129033144,2.4998500446625083,-0.0023809156293643774,heldout_section
