row_id,graph_type,source,target,weight
D00_S0_C000_T000,organelle,ER,mitochondria,0.39657697072999026
D00_S0_C000_T000,organelle,ER,Golgi,0.2974327280474927
D00_S0_C000_T000,organelle,mitochondria,lipid_droplet,0.33247813374278784
D00_S0_C001_T000,organelle,ER,mitochondria,0.7229844742017513
D00_S0_C001_T000,organelle,ER,Golgi,0.5422383556513135
D00_S0_C001_T000,organelle,mitochondria,lipid_droplet,0.49814809600319454
D00_S0_C002_T000,organelle,ER,mitochondria,0.5868001713746543
D00_S0_C002_T000,organelle,ER,Golgi,0.4401001285309908
D00_S0_C002_T000,organelle,mitochondria,lipid_droplet,0.4139450682117796
D00_S0_C003_T000,organelle,ER,mitochondria,0.5251990672078889
D00_S0_C003_T000,organelle,ER,Golgi,0.3938993004059167
D00_S0_C003_T000,organelle,mitochondria,lipid_droplet,0.3931502659875816
D00_S0_C004_T000,organelle,ER,mitochondria,0.6064149259953691
D00_S0_C004_T000,organelle,ER,Golgi,0.4548111944965268
D00_S0_C004_T000,organelle,mitochondria,lipid_droplet,0.4693549131637699
D00_S0_C005_T000,organelle,ER,mitochondria,0.7857216464384756
D00_S0_C005_T000,organelle,ER,Golgi,0.5892912348288567
D00_S0_C005_T000,organelle,mitochondria,lipid_droplet,0.5572501295297496
D00_S0_C006_T000,organelle,ER,mitochondria,0.5541680746266797
D00_S0_C006_T000,organelle,ER,Golgi,0.4156260559700098
D00_S0_C006_T000,organelle,mitochondria,lipid_droplet,0.4008736935357425
D00_S0_C007_T000,organelle,ER,mitochondria,0.4898929027600417
D00_S0_C007_T000,organelle,ER,Golgi,0.3674196770700313
D00_S0_C007_T000,organelle,mitochondria,lipid_droplet,0.3586408431243626
D00_S0_C008_T000,organelle,ER,mitochondria,0.5659600068740183
D00_S0_C008_T000,organelle,ER,Golgi,0.4244700051555137
D00_S0_C008_T000,organelle,mitochondria,lipid_droplet,0.41982254178155975
D00_S0_C009_T000,organelle,ER,mitochondria,0.7160387649580233
D00_S0_C009_T000,organelle,ER,Golgi,0.5370290737185175
D00_S0_C009_T000,organelle,mitochondria,lipid_droplet,0.4550831587258448
D00_S0_C010_T000,organelle,ER,mitochondria,0.4471385533561724
D00_S0_C010_T000,organelle,ER,Golgi,0.3353539150171293
D00_S0_C010_T000,organelle,mitochondria,lipid_droplet,0.3468959503809285
D00_S0_C011_T000,organelle,ER,mitochondria,0.8047472679143964
D00_S0_C011_T000,organelle,ER,Golgi,0.6035604509357974
D00_S0_C011_T000,organelle,mitochondria,lipid_droplet,0.5426812078664762
D00_S0_C012_T000,organelle,ER,mitochondria,0.7378546201847914
D00_S0_C012_T000,organelle,ER,Golgi,0.5533909651385935
D00_S0_C012_T000,organelle,mitochondria,lipid_droplet,0.5232711423039722
D00_S0_C013_T000,organelle,ER,mitochondria,0.5216884079285647
D00_S0_C013_T000,organelle,ER,Golgi,0.39126630594642353
D00_S0_C013_T000,organelle,mitochondria,lipid_droplet,0.3646432966586738
D00_S0_C014_T000,organelle,ER,mitochondria,0.7002339767493485
D00_S0_C014_T000,organelle,ER,Golgi,0.5251754825620114
D00_S0_C014_T000,organelle,mitochondria,lipid_droplet,0.46981427308525847
D00_S0_C015_T000,organelle,ER,mitochondria,0.6465789471118666
D00_S0_C015_T000,organelle,ER,Golgi,0.48493421033389994
D00_S0_C015_T000,organelle,mitochondria,lipid_droplet,0.4760781577773632
D00_S0_C016_T000,organelle,ER,mitochondria,0.5257094944023879
D00_S0_C016_T000,organelle,ER,Golgi,0.3942821208017909
D00_S0_C016_T000,organelle,mitochondria,lipid_droplet,0.3703488318315172
D00_S0_C017_T000,organelle,ER,mitochondria,0.5339862735549745
D00_S0_C017_T000,organelle,ER,Golgi,0.4004897051662309
D00_S0_C017_T000,organelle,mitochondria,lipid_droplet,0.3484494027654068
D00_S0_C018_T000,organelle,ER,mitochondria,0.6514076960559381
D00_S0_C018_T000,organelle,ER,Golgi,0.48855577204195355
D00_S0_C018_T000,organelle,mitochondria,lipid_droplet,0.4749284603803029
D00_S0_C019_T000,organelle,ER,mitochondria,0.57689316279755
D00_S0_C019_T000,organelle,ER,Golgi,0.4326698720981625
D00_S0_C019_T000,organelle,mitochondria,lipid_droplet,0.42836251400644887
D00_S0_C020_T000,organelle,ER,mitochondria,0.5367169048733377
D00_S0_C020_T000,organelle,ER,Golgi,0.40253767865500323
D00_S0_C020_T000,organelle,mitochondria,lipid_droplet,0.3665400085620514
D00_S0_C021_T000,organelle,ER,mitochondria,0.8604199362037078
D00_S0_C021_T000,organelle,ER,Golgi,0.6453149521527809
D00_S0_C021_T000,organelle,mitochondria,lipid_droplet,0.5840750682292448
D00_S0_C022_T000,organelle,ER,mitochondria,0.4658829554488007
D00_S0_C022_T000,organelle,ER,Golgi,0.34941221658660054
D00_S0_C022_T000,organelle,mitochondria,lipid_droplet,0.38431467001584896
D00_S0_C023_T000,organelle,ER,mitochondria,0.5339594577550055
D00_S0_C023_T000,organelle,ER,Golgi,0.40046959331625415
D00_S0_C023_T000,organelle,mitochondria,lipid_droplet,0.38851260339209015
D00_S0_C024_T000,organelle,ER,mitochondria,0.43978129188836723
D00_S0_C024_T000,organelle,ER,Golgi,0.3298359689162754
D00_S0_C024_T000,organelle,mitochondria,lipid_droplet,0.30210522272047835
D00_S0_C025_T000,organelle,ER,mitochondria,0.7394140867061086
D00_S0_C025_T000,organelle,ER,Golgi,0.5545605650295815
D00_S0_C025_T000,organelle,mitochondria,lipid_droplet,0.47216400258429364
D00_S0_C026_T000,organelle,ER,mitochondria,0.5378558067161008
D00_S0_C026_T000,organelle,ER,Golgi,0.4033918550370756
D00_S0_C026_T000,organelle,mitochondria,lipid_droplet,0.37999433900352064
D00_S0_C027_T000,organelle,ER,mitochondria,0.3649729182731852
D00_S0_C027_T000,organelle,ER,Golgi,0.2737296887048889
D00_S0_C027_T000,organelle,mitochondria,lipid_droplet,0.2873974585047737
