spatial_niche,cell_type,n_cells,n_donors,mean_resistance,mean_immune_exclusion,mean_antigen_presentation,within_niche_fraction
tumor_core,dendritic_cell,20,8,0.5863857610091167,0.3444200335542654,0.6608878714098163,0.09803921568627451
tumor_core,fibroblast,5,3,0.501582532689218,0.34390187043088344,0.5658821197777172,0.024509803921568627
tumor_core,macrophage,15,7,0.6175124362708577,0.5402325770219736,0.47173608274810014,0.07352941176470588
tumor_core,t_cell,20,7,0.5454561875599259,0.29272884228088547,0.5787474772476378,0.09803921568627451
tumor_core,tumor,127,8,0.5950430848259948,0.34188943174608016,0.4250374747882737,0.6225490196078431
tumor_core,vascular,17,7,0.5532296737916302,0.33821753104567487,0.48402124583699074,0.08333333333333333
immune_infiltrated,dendritic_cell,334,8,0.5228252372124499,0.28443008994674757,0.6895145396673775,0.18422504136789852
immune_infiltrated,fibroblast,171,8,0.5205973341724374,0.39048344076756286,0.5135877005331658,0.0943188086045229
immune_infiltrated,macrophage,328,8,0.5304191686627594,0.4362016036006425,0.5137030515950124,0.18091560948703805
immune_infiltrated,t_cell,275,8,0.5024747891583933,0.2644442440280727,0.6075919910690755,0.1516822945394374
immune_infiltrated,tumor,543,8,0.5277651579704575,0.24579136114003672,0.47600901659396627,0.2995035852178709
immune_infiltrated,vascular,162,8,0.541196964325903,0.2928146447795224,0.5090707191783774,0.08935466078323222
macrophage_barrier,dendritic_cell,137,8,0.535137957053583,0.2950795126787421,0.6872209537386932,0.20820668693009117
macrophage_barrier,fibroblast,140,8,0.5079539240729039,0.369535491520278,0.5286546328766809,0.2127659574468085
macrophage_barrier,macrophage,111,8,0.515529230384699,0.44368212231246607,0.5285191909206234,0.16869300911854104
macrophage_barrier,t_cell,119,8,0.5374609776460801,0.2962246180998137,0.5860719454878137,0.18085106382978725
macrophage_barrier,tumor,70,8,0.5410423908074741,0.28804691255314124,0.45495502348529226,0.10638297872340426
macrophage_barrier,vascular,81,8,0.5163266078901705,0.2920890165573907,0.5125953950466067,0.12310030395136778
stromal_perivascular,dendritic_cell,212,8,0.535724426695586,0.29846852788272366,0.6878307395543131,0.1469161469161469
stromal_perivascular,fibroblast,326,8,0.5324085998550432,0.39841238433789417,0.5150663150267392,0.2259182259182259
stromal_perivascular,macrophage,220,8,0.5305956001767327,0.42825369805704827,0.5068389016948837,0.15246015246015246
stromal_perivascular,t_cell,258,8,0.5533386045695119,0.3141455498368501,0.5834659630839085,0.1787941787941788
stromal_perivascular,tumor,27,7,0.4862361934234286,0.20211903853788352,0.465282483057025,0.018711018711018712
stromal_perivascular,vascular,400,8,0.5216380230600426,0.2815790352808844,0.5154803833654853,0.2772002772002772
mixed_interface,dendritic_cell,321,8,0.5199851998184531,0.2902982059085263,0.6949666103738201,0.1636085626911315
mixed_interface,fibroblast,382,8,0.5338881215622661,0.392402858901048,0.5067754397555772,0.1946992864424057
mixed_interface,macrophage,350,8,0.5227403476846814,0.42255025041925354,0.5168026238059045,0.1783893985728848
mixed_interface,t_cell,352,8,0.5237078553354967,0.29031105149766295,0.5855639241294326,0.17940876656472987
mixed_interface,tumor,193,8,0.5218745983525759,0.2384697728201713,0.4778881004953856,0.0983690112130479
mixed_interface,vascular,364,8,0.5291142720557536,0.294510789397679,0.5053116126671441,0.18552497451580022
